"Tanggal","Close"
2020-01-02,6690
2020-01-03,6800
2020-01-06,6735
2020-01-07,6740
2020-01-08,6680
2020-01-09,6740
2020-01-10,6725
2020-01-13,6745
2020-01-14,6870
2020-01-15,6835
2020-01-16,6850
2020-01-17,6875
2020-01-20,6835
2020-01-21,6830
2020-01-22,6840
2020-01-23,6840
2020-01-24,6810
2020-01-27,6840
2020-01-28,6790
2020-01-29,6785
2020-01-30,6740
2020-01-31,6480
2020-02-03,6440
2020-02-04,6600
2020-02-05,6730
2020-02-06,6740
2020-02-07,6760
2020-02-10,6785
2020-02-11,6780
2020-02-12,6800
2020-02-13,6790
2020-02-14,6680
2020-02-17,6720
2020-02-18,6695
2020-02-19,6695
2020-02-20,6595
2020-02-21,6615
2020-02-24,6525
2020-02-25,6530
2020-02-26,6420
2020-02-27,6290
2020-02-28,6290
2020-03-02,6080
2020-03-03,6320
2020-03-04,6440
2020-03-05,6435
2020-03-06,6200
2020-03-09,5785
2020-03-10,5925
2020-03-11,5850
2020-03-12,5560
2020-03-13,5560
2020-03-16,5560
2020-03-17,5120
2020-03-18,5000
2020-03-19,4650
2020-03-20,4735
2020-03-23,4430
2020-03-24,4500
2020-03-26,5280
2020-03-27,5510
2020-03-30,5495
2020-03-31,5525
2020-04-01,5480
2020-04-02,5410
2020-04-03,5495
2020-04-06,5735
2020-04-07,5655
2020-04-08,5635
2020-04-09,5595
2020-04-13,5500
2020-04-14,5515
2020-04-15,5485
2020-04-16,5240
2020-04-17,5425
2020-04-20,5355
2020-04-21,5160
2020-04-22,5145
2020-04-23,5120
2020-04-24,4920
2020-04-27,4960
2020-04-28,4830
2020-04-29,4850
2020-04-30,5170
2020-05-04,5220
2020-05-05,5285
2020-05-06,5355
2020-05-08,5245
2020-05-11,5295
2020-05-12,5220
2020-05-13,5110
2020-05-14,4920
2020-05-15,4785
2020-05-18,4765
2020-05-19,4680
2020-05-20,4765
2020-05-26,4970
2020-05-27,4965
2020-05-28,5295
2020-05-29,5190
2020-06-02,5360
2020-06-03,5780
2020-06-04,5790
2020-06-05,5725
2020-06-08,5900
2020-06-09,5805
2020-06-10,5800
2020-06-11,5680
2020-06-12,5670
2020-06-15,5500
2020-06-16,5760
2020-06-17,5720
2020-06-18,5585
2020-06-19,5575
2020-06-22,5540
2020-06-23,5620
2020-06-24,5705
2020-06-25,5725
2020-06-26,5645
2020-06-29,5675
2020-06-30,5695
2020-07-01,5800
2020-07-02,5870
2020-07-03,5870
2020-07-06,5935
